"osm_id","name","gid"
-6679859,"Landkreis Göttingen","03159"
-3659532,"Condominium Lëtzebuerg-Deutschland","07000999;10942115"
-2812852,"Landkreis Göppingen","08117"
-2812851,"Landkreis Esslingen","08116"
-2812850,"Landkreis Heidenheim","08135"
-2808774,"Landkreis Ravensburg","08436"
-2806623,"Bodenseekreis","08435"
-2806390,"Landkreis Sigmaringen","08437"
-2804156,"Landkreis Biberach","08426"
-2804078,"Alb-Donau-Kreis","08425"
-2797573,"Zollernalbkreis","08417"
-2797036,"Landkreis Tübingen","08416"
-2796980,"Landkreis Reutlingen","08415"
-2793104,"Stuttgart","08111000"
-2168233,"Rosenheim","09163000"
-2168232,"Landkreis Mühldorf am Inn","09183"
-2168231,"Landkreis Miesbach","09182"
-2168230,"Landkreis Ebersberg","09175"
-2156363,"Landkreis Traunstein","09189"
-2156362,"Landkreis Rosenheim","09187"
-2145179,"Landkreis Hof","09475"
-2145178,"Landkreis Kulmbach","09477"
-2084746,"Lüneburg","03355"
-2083535,"Landkreis Cuxhaven","03352"
-2083497,"Harburg","03353"
-2083466,"Landkreis Freyung-Grafenau","09272"
-1946367,"Landkreis Breisgau-Hochschwarzwald","08315"
-1946117,"Landkreis Emmendingen","08316"
-1891506,"Kreis Olpe","05966"
-1831015,"Märkischer Kreis","05962"
-1829066,"Ennepe-Ruhr-Kreis","05954"
-1829065,"Dortmund","05913000"
-1800297,"Hagen","05914000"
-1739381,"Ludwigslust-Parchim","13076"
-1739380,"Nordwestmecklenburg","13074"
-1739379,"Vorpommern-Rügen","13073"
-1739377,"Landkreis Rostock","13072"
-1739376,"Mecklenburgische Seenplatte","13071"
-1431517,"Vorpommern-Greifswald","13075"
-975339,"Landkreis Neustadt an der Waldnaab","09374"
-318248,"Märkisch-Oderland","12064"
-285864,"Heidelberg","08221000"
-191645,"Dresden","14612000"
-172679,"Trier","07211000"
-62943,"Vogtlandkreis","14523"
-62785,"Zwickau","14524"
-62782,"Hamburg","02000000"
-62780,"Nürnberg","09564000"
-62779,"Kreis Coesfeld","05558"
-62778,"Landkreis Fürth","09573"
-62773,"Landkreis Friesland","03455"
-62772,"Amberg","09361000"
-62770,"Kreis Recklinghausen","05562"
-62768,"Freiburg im Breisgau","08311000"
-62767,"Kreis Heinsberg","05370"
-62766,"Landkreis Hameln-Pyrmont","03252"
-62765,"Landkreis Amberg-Sulzbach","09371"
-62764,"Region Hannover","03241"
-62762,"Landkreis Schaumburg","03257"
-62751,"Heilbronn","08121000"
-62750,"Landkreis Heilbronn","08125"
-62748,"Krefeld","05114000"
-62747,"Anhalt-Bitterfeld","15082"
-62746,"Rheingau-Taunus-Kreis","06439"
-62745,"Erfurt","16051000"
-62744,"Landkreis Nürnberger Land","09574"
-62743,"Uelzen","03360"
-62742,"Landkreis Hildesheim","03254"
-62741,"Landkreis Bad Kreuznach","07133"
-62740,"Landkreis Verden","03361"
-62739,"Landkreis Rhön-Grabfeld","09673"
-62738,"Prignitz","12070"
-62737,"Donnersbergkreis","07333"
-62736,"Schwalm-Eder-Kreis","06634"
-62734,"Oberhausen","05119000"
-62733,"Segeberg","01060"
-62731,"Landkreis Wesermarsch","03461"
-62730,"Kreis Bergstraße","06431"
-62728,"Landkreis Nienburg/Weser","03256"
-62727,"Landkreis Straubing-Bogen","09278"
-62726,"Landkreis Garmisch-Partenkirchen","09180"
-62725,"Stendal","15090"
-62724,"Neustadt an der Weinstraße","07316000"
-62723,"Enzkreis","08236"
-62721,"Landkreis Böblingen","08115"
-62720,"Schwabach","09565000"
-62719,"Zweibrücken","07320000"
-62717,"Coburg","09463000"
-62716,"Landkreis Waldshut","08337"
-62715,"Landkreis Offenbach","06438"
-62713,"Essen","05113000"
-62712,"Landkreis Berchtesgadener Land","09172"
-62711,"Landkreis Deggendorf","09271"
-62709,"Landkreis Regen","09276"
-62708,"Ostalbkreis","08136"
-62707,"Landkreis Dingolfing-Landau","09279"
-62706,"Kreis Warendorf","05570"
-62704,"Landkreis Darmstadt-Dieburg","06432"
-62703,"Herzogtum Lauenburg","01053"
-62701,"Kempten (Allgäu)","09763000"
-62700,"Landkreis Fulda","06631"
-62699,"Solingen","05122000"
-62698,"Landkreis Germersheim","07334"
-62695,"Offenbach am Main","06413000"
-62694,"Main-Kinzig-Kreis","06435"
-62693,"Jena","16053000"
-62692,"Landkreis Gießen","06531"
-62691,"Mannheim","08222000"
-62690,"Schwarzwald-Baar-Kreis","08326"
-62689,"Landkreis Ammerland","03451"
-62687,"Landkreis Forchheim","09474"
-62686,"Landkreis Schwandorf","09376"
-62685,"Schwerin","13004000"
-62684,"Landkreis Eichstätt","09176"
-62683,"Spree-Neiße","12071"
-62682,"Landkreis Tuttlingen","08327"
-62681,"Mansfeld-Südharz","15087"
-62680,"Landkreis Alzey-Worms","07331"
-62679,"Landkreis Birkenfeld","07134"
-62674,"Heidekreis","03358"
-62673,"Landkreis Osnabrück","03459"
-62672,"Landkreis Lindau","09776"
-62671,"Gera","16052000"
-62669,"Landkreis Goslar","03153"
-62668,"Landkreis Bernkastel-Wittlich","07231"
-62666,"Landkreis Vechta","03460"
-62665,"Städteregion Aachen","05334"
-62664,"Landkreis Günzburg","09774"
-62663,"Landkreis Altötting","09171"
-62662,"Lüchow-Dannenberg","03354"
-62661,"Rhein-Erft-Kreis","05362"
-62659,"Salzgitter","03102000"
-62658,"Bremerhaven","04012000"
-62657,"Landkreis Landshut","09274"
-62656,"Kreis Groß-Gerau","06433"
-62655,"Landkreis Neuburg-Schrobenhausen","09185"
-62654,"Ansbach","09561000"
-62653,"Landkreis Südliche Weinstraße","07337"
-62652,"Kaiserslautern","07312000"
-62651,"Regionalverband Saarbrücken","10041"
-62649,"Leipzig","14713000"
-62648,"Landkreis Oldenburg","03458"
-62647,"Gifhorn","03151"
-62646,"Bielefeld","05711000"
-62644,"Bochum","05911000"
-62643,"Landkreis Marburg-Biedenkopf","06534"
-62642,"Pirmasens","07317000"
-62641,"Landkreis Main-Spessart","09677"
-62640,"Bayreuth","09462000"
-62639,"Burgenlandkreis","15084"
-62638,"Halle (Saale)","15002000"
-62637,"Landkreis Hersfeld-Rotenburg","06632"
-62636,"Straubing","09263000"
-62634,"Bottrop","05512000"
-62633,"Landkreis Freising","09178"
-62632,"Landkreis Mainz-Bingen","07339"
-62631,"Osnabrück","03404000"
-62630,"Mainz","07315000"
-62629,"Passau","09262000"
-62628,"Oder-Spree","12067"
-62627,"Landkreis Bamberg","09471"
-62626,"Neckar-Odenwald-Kreis","08225"
-62624,"Ortenaukreis","08317"
-62623,"Landkreis Ahrweiler","07131"
-62622,"Landkreis Augsburg","09772"
-62621,"Landkreis Nordhausen","16062"
-62620,"Landkreis Neumarkt in der Oberpfalz","09373"
-62618,"Landkreis Schmalkalden-Meiningen","16066"
-62617,"Landkreis Rotenburg (Wümme)","03357"
-62616,"Wartburgkreis","16063"
-62615,"Landkreis Vulkaneifel","07233"
-62614,"Landkreis Kelheim","09273"
-62613,"Landkreis Northeim","03155"
-62610,"Rhein-Pfalz-Kreis","07338"
-62609,"Landkreis Ansbach","09571"
-62608,"Landkreis Celle","03351"
-62606,"Kreis Borken","05554"
-62604,"Kyffhäuserkreis","16065"
-62603,"Landkreis Konstanz","08335"
-62602,"Altmarkkreis Salzwedel","15081"
-62601,"Landkreis Calw","08235"
-62600,"Landkreis Weilheim-Schongau","09190"
-62598,"Kassel","06611000"
-62597,"Landkreis Cloppenburg","03453"
